id,entity_type,name,normalized_name,category_code,status,founded_at,closed_at,investment_rounds,invested_companies,funding_rounds,funding_total_usd,milestones,relationships
c:79089,Company,HelpMeRent.com,helpmerent,real_estate,closed,2010-10-01,2013-02-01,0,0,1,154000.0,2,5
c:79149,Company,Gigi Hill,gigi hill,manufacturing,closed,2009-01-01,2013-07-16,0,0,2,4000000.0,0,9
c:7934,Company,Refulgence Technostream,refulgence technostream,other,closed,2007-08-01,2011-01-01,0,0,0,0.0,0,2
c:794,Company,IPartee,ipartee,web,closed,2007-10-01,2009-01-01,0,0,0,0.0,2,2
c:79456,Company,TrustDegrees,trustdegrees,web,closed,2011-03-01,2012-01-01,0,0,2,11000.0,1,5
c:79503,Company,Olah-Viq Software Solutions,olah viq software solutions,software,closed,2010-07-02,2012-10-01,0,0,1,0.0,1,2
c:79535,Company,PriceTag,pricetag,mobile,closed,2011-02-12,2012-02-01,0,0,1,0.0,1,1
c:79537,Company,Nimbus Enterprise,nimbus enterprise,enterprise,closed,2011-06-01,2012-02-01,0,0,0,0.0,1,2
c:79619,Company,Acceptly,acceptly,web,closed,2011-04-01,2012-01-01,0,0,0,0.0,0,4
c:79646,Company,Reelation,reelation,web,closed,2011-02-01,2012-12-23,0,0,1,85000.0,1,4
c:79721,Company,Village Laundry Service,village laundry service,finance,closed,2008-01-01,2012-10-01,0,0,1,0.0,1,2
c:79724,Company,Apploors,apploors,mobile,closed,2010-10-01,2012-01-01,0,0,0,0.0,1,1
c:79736,Company,Coupoplaces,coupoplaces,web,closed,2011-06-01,2012-09-01,0,0,1,15000.0,0,3
c:79822,Company,BelieversFund,believersfund,mobile,closed,2011-04-01,2012-12-01,0,0,1,50000.0,1,6
c:79919,Company,TixxMe,tixxme,mobile,closed,2010-10-01,2011-01-01,0,0,0,0.0,0,1
c:80058,Company,SynergeTech Solutions,synergetech solutions,mobile,closed,2009-06-01,2012-01-01,0,0,0,0.0,1,2
c:80176,Company,SimpleNFC - CLOSED,simplenfc closed,mobile,closed,2010-04-14,2013-01-10,0,0,0,0.0,1,4
c:80218,Company,Medico.com,medico,medical,closed,2010-10-01,2012-01-01,0,0,1,0.0,1,2
c:80228,Company,Oakland Single Parents' Network,oakland single parents network,enterprise,closed,2010-03-15,2013-07-16,0,0,1,5000.0,0,2
c:80259,Company,Eyeona,eyeona,web,closed,2011-01-01,2012-11-01,0,0,1,2000000.0,2,3
c:8037,Company,SulfurCell,sulfurcell,cleantech,closed,2002-01-01,2011-10-01,0,0,2,158700000.0,4,1
c:80400,Company,Matatena Games,matatena games,games_video,closed,2011-12-01,2012-05-01,0,0,1,120000.0,0,4
c:80669,Company,DidYouFIndADeal,didyoufindadeal,web,closed,2010-12-01,2012-06-01,0,0,0,0.0,0,2
c:8073,Company,Kickplay,kickplay,games_video,closed,2007-07-01,2010-01-01,0,0,1,0.0,0,1
c:80760,Company,Fanarchy Limited,fanarchy limited,web,closed,2011-06-19,2013-01-01,0,0,1,18885.0,1,2
c:80955,Company,Unbooked Ltd,unbooked,web,closed,2010-01-01,2013-07-01,0,0,2,850000.0,0,2
c:8096,Company,AtBizz,atbizz,ecommerce,closed,2007-03-01,2011-01-01,0,0,1,300000.0,0,0
c:80960,Company,3ClickEMR Corporation,3clickemr,software,closed,2010-06-23,2011-08-01,0,0,2,500000.0,1,1
c:810,Company,RatePoint,ratepoint,software,closed,2006-09-01,2012-02-02,0,0,4,24500000.0,4,13
c:81134,Company,Gigalocal,gigalocal,mobile,closed,2011-03-15,2013-03-15,0,0,1,1000000.0,1,5
c:81264,Company,KoalaDeal,koaladeal,ecommerce,closed,2011-04-01,2012-01-01,0,0,1,410000.0,1,1
c:81296,Company,Job Change Notifier,job change notifier,web,closed,2011-01-01,2013-07-12,0,0,0,0.0,1,1
c:81315,Company,Infactio.us,infactio us,web,closed,2010-01-01,2013-01-01,0,0,0,0.0,1,2
c:814,Company,Iggli,iggli,web,closed,2007-01-01,2010-04-24,0,0,1,0.0,0,5
c:8140,Company,Kappa Prime,kappa prime,web,closed,2008-02-01,2012-03-19,0,0,1,0.0,0,2
c:81474,Company,Caterva,caterva,social,closed,2008-01-01,2013-06-01,0,0,2,2408500.0,1,1
c:81475,Company,Moprise,moprise,enterprise,closed,2010-01-01,2013-07-01,0,0,2,2238055.0,1,6
c:8157,Company,Polka,polka,mobile,closed,2007-04-20,2011-01-01,0,0,0,0.0,1,1
c:81628,Company,RouterShare,routershare,mobile,closed,2011-01-01,2012-02-01,0,0,2,120000.0,0,2
c:81636,Company,All Together Now,all together now,enterprise,closed,2011-06-01,2012-03-04,0,0,1,0.0,1,3
c:81809,Company,PerSer Corp,perser,social,closed,2011-07-06,2013-02-01,0,0,1,4000.0,0,10
c:81886,Company,skyrockit,skyrockit,mobile,closed,2001-01-01,2012-04-01,0,0,1,2600000.0,0,0
c:82109,Company,yoone,yoone,games_video,closed,2010-11-03,2012-06-01,0,0,1,197597.0,1,2
c:82145,Company,AlphaNation,alphanation,finance,closed,2010-01-01,2013-07-01,0,0,3,650000.0,0,0
c:82169,Company,Deal Umpire,deal umpire,other,closed,2011-01-01,2012-08-01,0,0,0,0.0,0,1
c:8230,Company,Blue Lava Technologies,blue lava technologies,software,closed,2006-01-01,2012-09-23,0,0,3,6005192.0,1,5
c:82405,Company,Dayzu,dayzu,web,closed,2011-05-01,2012-05-01,0,0,0,0.0,0,2
c:82415,Company,Electzu,electzu,web,closed,2011-05-01,2012-05-01,0,0,0,0.0,0,1
c:8251,Company,neoSaej,neosaej,web,closed,2006-01-01,2013-06-01,0,0,5,13130000.0,1,1
c:82518,Company,Team Media,team media,network_hosting,closed,2000-08-01,2013-08-06,0,0,0,0.0,1,1
c:82685,Company,InboxFever,inboxfever,messaging,closed,2011-07-01,2012-06-21,0,0,1,0.0,0,2
c:82688,Company,MoMelan Technologies,momelan technologies,medical,closed,2009-01-01,2013-06-01,0,0,1,5000000.0,0,0
c:8271,Company,ByteShield,byteshield,software,closed,2004-09-01,2012-09-13,0,0,1,0.0,0,0
c:82895,Company,Vibrow,vibrow,web,closed,2010-01-10,2012-01-01,0,0,1,300000.0,1,1
c:82896,Company,gulu.com,gulu,web,closed,2011-05-17,2013-06-01,0,0,1,300000.0,1,5
c:82909,Company,Bubble & Balm,bubble balm,manufacturing,closed,2009-06-24,2013-07-31,0,0,1,120993.0,0,0
c:83,Company,AllPeers,allpeers,web,closed,2004-08-01,2008-03-03,0,0,1,0.0,3,5
c:830,Company,MuseStorm,musestorm,web,closed,2005-01-01,2010-01-17,0,0,2,1429763.0,2,1
c:83072,Company,Problemcity.com,problemcity,web,closed,2011-01-01,2013-05-01,0,0,1,10000.0,0,0
c:83173,Company,MyDoorman,mydoorman,software,closed,2009-05-01,2012-04-01,0,0,1,100000.0,2,3
c:83176,Company,ItsGoinOn,itsgoinon,games_video,closed,2010-05-01,2011-11-01,0,0,1,100000.0,2,3
c:83205,Company,RoomiePics,roomiepics,games_video,closed,2010-01-01,2012-07-01,0,0,1,150000.0,0,0
c:83236,Company,Athigo,athigo,software,closed,2011-01-01,2012-04-01,0,0,1,200000.0,0,1
c:83243,Company,Ground Zero Group Corporation,ground zero group,consulting,closed,2009-05-25,2011-07-01,0,0,1,5000.0,1,2
c:833,Company,Eons,eons,network_hosting,closed,2005-01-01,2012-05-17,1,1,2,32000000.0,4,14
c:83450,Company,PrePay,prepay,finance,closed,2011-01-01,2013-04-01,0,0,1,0.0,2,1
c:8346,Company,Medpedia,medpedia,web,closed,2007-03-01,2013-01-01,0,0,0,0.0,2,2
c:8351,Company,Myrio,myrio,software,closed,1999-12-01,2012-01-01,0,0,1,20500000.0,0,5
c:8355,Company,ArtistForce,artistforce,software,closed,2006-08-01,2013-01-01,0,0,2,0.0,0,3
c:83562,Company,Bilneur,bilneur,ecommerce,closed,2011-06-27,2012-04-01,0,0,1,0.0,1,2
c:83708,Company,Banksnob,banksnob,search,closed,2011-07-29,2012-09-01,0,0,1,0.0,0,0
c:83756,Company,Miew,miew,software,closed,2011-03-08,2012-06-01,0,0,1,60000.0,0,1
c:8377,Company,PhoneFromHere,phonefromhere,public_relations,closed,2007-03-01,2012-02-25,0,0,0,0.0,0,5
c:83900,Company,XenoOne,xenoone,web,closed,2006-12-15,2012-07-17,0,0,1,3000000.0,2,7
c:84003,Company,yorAPI,yorapi,software,closed,2012-01-04,2013-07-01,0,0,0,0.0,0,2
c:84008,Company,CrowdSling,crowdsling,web,closed,2011-03-16,2011-12-01,0,0,1,40000.0,0,3
c:84030,Company,Urbster,urbster,web,closed,2010-08-01,2012-01-01,0,0,1,0.0,1,2
c:84032,Company,Lion,lion,web,closed,2011-07-01,2012-05-01,0,0,0,0.0,1,2
c:84149,Company,Poke'n Call,poken call,social,closed,2011-07-01,2012-07-01,0,0,1,50000.0,0,1
c:84375,Company,GetCrave.com,getcrave,software,closed,2011-04-16,2011-01-01,0,0,0,0.0,0,0
c:84412,Company,TripFab,tripfab,travel,closed,2011-06-01,2012-12-01,0,0,1,500000.0,0,2
c:84454,Company,Teez.mobi,teez mobi,advertising,closed,2011-06-16,2012-01-01,0,0,1,28176.0,1,3
c:8459,Company,Cascada Mobile,cascada mobile,mobile,closed,2004-01-01,2012-01-01,0,0,1,0.0,0,0
c:8460,Company,Jamglue,jamglue,games_video,closed,2006-05-01,2010-06-01,0,0,1,0.0,3,4
c:84608,Company,Snapjoy,snapjoy,web,acquired,2011-05-01,2013-07-24,0,0,1,0.0,2,5
c:84743,Company,Soapbox Mobile,soapbox mobile,mobile,closed,2004-01-10,2012-04-28,0,0,3,10125000.0,2,5
c:84807,Company,StackBlaze,stackblaze,network_hosting,closed,2011-02-01,2012-10-01,0,0,1,54994.0,1,3
c:84867,Company,Link_A_Media Devices,link a media devices,semiconductor,closed,2004-01-01,2013-01-01,0,0,3,47218498.0,0,4
c:84886,Company,QRcao,qrcao,software,closed,2011-08-01,2012-01-01,0,0,1,7208.0,1,3
c:84913,Company,DealChucker,dealchucker,web,closed,2011-08-01,2012-01-01,0,0,0,0.0,0,0
c:8494,Company,Lexy,lexy,games_video,closed,2006-01-01,2011-06-01,0,0,2,1708000.0,3,4
c:84962,Company,GameUp,gameup,web,closed,2011-03-01,2012-01-01,0,0,0,0.0,1,4
c:8505,Company,Code71,code71,software,closed,2006-05-01,2013-05-01,0,0,1,1000000.0,0,2
c:85140,Company,Roamz,roamz,software,closed,2011-01-25,2013-07-04,0,0,1,3500000.0,2,8
c:85299,Company,Betista,betista,games_video,closed,2011-07-30,2011-09-28,0,0,0,0.0,1,3
c:85394,Company,Bizy LLC,bizy,ecommerce,closed,2011-03-01,2011-01-01,0,0,0,0.0,1,0
c:85493,Company,Techoz,techoz,consulting,closed,2009-09-09,2009-08-18,0,0,1,50000.0,1,1
c:85503,Company,code-laboration,code laboration,web,closed,2011-05-05,2013-05-01,0,0,3,110000.0,2,13
