Evaluation Metric,Logistic Regression,Random Forest,Gradient Boosting
Accuracy,0.890703580142409,0.9004132848677986,0.9094258825872629
Precision,0.7933528676785049,0.8377517472063389,0.8302761414603562
Recall,0.890703580142409,0.9004132848677986,0.9094258825872629
ROC AUC,0.587423347314549,0.7475022325266316,0.7887912268515863
